"word","n","translatedContent"
"ms",426,"b<U+1EC7>nh da xo c<U+1EE9>ng"
"questions",368,"câu h<U+1ECF>i"
"â",339,""
"refer",286,"tham kh<U+1EA3>o"
"test",283,"ki<U+1EC3>m tra"
"mail",269,"thu"
"page",250,"trang"
"pm",234,"bu<U+1ED5>i chi<U+1EC1>u"
"business",206,"kinh doanh"
"time",196,"th<U+1EDD>i gian"
"answer",172,"bài gi<U+1EA3>i"
"company",164,"Công ty"
"date",159,"ngày"
"office",158,"van phòng"
"web",156,"web"
"meeting",145,"cu<U+1ED9>c h<U+1ECD>p"
"information",141,"thông tin"
"service",140,"D<U+1ECB>ch v<U+1EE5>"
"staff",136,"Nhân Viên"
"site",128,"Ð<U+1ECB>a di<U+1EC3>m"
"online",116,"Tr<U+1EF1>c tuy<U+1EBF>n"
"article",108,"bài báo"
"employees",106,"ngu<U+1EDD>i lao d<U+1ED9>ng"
"letter",106,"thu"
"dear",105,"Thân m<U+1EBF>n"
"contact",99,"ti<U+1EBF>p xúc"
"event",98,"S<U+1EF1> ki<U+1EC7>n"
"customer",97,"khách hàng"
"building",94,"Tòa nhà"
"schedule",93,"l<U+1ECB>ch trình"
"city",90,"thành ph<U+1ED1>"
"text",89,"ch<U+1EEF>"
"job",88,"Công vi<U+1EC7>c"
"subject",88,"ch<U+1EE7> th<U+1EC3>"
"product",81,"s<U+1EA3>n ph<U+1EA9>m"
"complete",78,"hoàn thành"
"line",78,"hàng"
"project",78,"d<U+1EF1> án"
"store",78,"c<U+1EED>a hàng"
"team",78,"d<U+1ED9>i"
"conference",77,"h<U+1ED9>i ngh<U+1ECB>"
"week",77,"tu<U+1EA7>n"
"customers",74,"khách hàng"
"items",73,"m<U+1EB7>t hàng"
"sentence",73,"câu"
"june",72,"tháng Sáu"
"receive",72,"nh<U+1EAD>n"
"send",72,"g<U+1EED>i"
"item",71,"bài báo"
"mark",71,"d<U+1EA5>u"
"form",70,"m<U+1EAB>u don"
"products",70,"M<U+1EF9> ph<U+1EA9>m"
"local",69,"d<U+1ECB>a phuong"
"sheet",69,"t<U+1EDD> gi<U+1EA5>y"
"suggested",69,"g<U+1EE3>i ý"
"training",68,"dào t<U+1EA1>o"
"request",67,"l<U+1EDD>i yêu c<U+1EA7>u"
"sales",67,"vi<U+1EC7>c bán hàng"
"april",66,"tháng tu"
"department",66,"phòng"
"directions",66,"hu<U+1EDB>ng"
"month",66,"tháng"
"hotel",65,"khách s<U+1EA1>n"
"home",64,"Trang Ch<U+1EE7>"
